condition,seed,kind,expected_beep,beep_count,beep_onsets_seconds,reaction_seconds,false_beep,pressed_seconds,passed,connected,maximum_button_travel,maximum_wheel_angle,all_quiet
disconnected,131008,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131009,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131010,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131011,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131012,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131013,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131014,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131015,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131016,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131017,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131018,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131019,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131020,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131021,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131022,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131023,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131024,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131025,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131026,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131027,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131028,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131029,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132000,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132001,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132002,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132003,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132004,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132005,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132006,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132007,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132008,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132009,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132010,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132011,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132012,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
